Rk,Player,From,To,Yrs,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
431,John Pohl\pohljo01,2004,2004,1,NHL,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,8,8:18
432,Roman Polak\polakro01,2007,2014,8,NHL,424,13,66,79,-7,319,13,0,0,4,59,5,2,425,3.1,8055,19:00
433,Greg Polis\polisgr01,1974,1974,1,NHL,37,8,12,20,-7,24,8,0,0,0,9,3,0,122,6.6,,
434,Jame Pollock\polloja01,2004,2004,1,NHL,9,0,0,0,-1,6,0,0,0,0,0,0,0,19,0,139,15:25
435,Chris Porter\portech01,2009,2015,6,NHL,173,11,16,27,-7,33,11,0,0,5,16,0,0,217,5.1,1814,10:29
436,Mike Posavad\posavmi01,1986,1987,2,NHL,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
437,Vitali Prokhorov\prokhvi01,1993,1995,3,NHL,83,19,11,30,-9,35,16,3,0,2,11,0,0,106,17.9,,
438,Chris Pronger*\prongch01,1996,2004,9,NHL,598,84,272,356,140,931,43,39,2,12,128,133,11,1333,6.3,10459,29:03:00
439,Nate Prosser\prossna01,2018,2018,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,15:23
440,Dan Quinn\quinnda01,1991,1991,1,NHL,14,4,7,11,-5,20,0,4,0,2,4,3,0,26,15.4,,
441,Stephane Quintal\quintst01,1992,1993,2,NHL,101,1,16,17,-9,132,0,0,1,0,13,1,2,100,1,,
442,Herb Raglan\raglahe01,1986,1991,6,NHL,235,26,39,65,-13,571,26,0,0,4,39,0,0,285,9.1,,
443,Rob Ramage\ramagro01,1983,1988,6,NHL,441,67,229,296,-45,898,31,36,0,11,114,111,4,1421,4.7,,
444,Ty Rattie\rattity01,2014,2017,4,NHL,30,4,4,8,-1,6,4,0,0,0,4,0,0,29,13.8,272,9:05
445,Marty Reasoner\reasoma01,1999,2001,3,NHL,95,17,30,47,6,42,13,4,0,0,14,15,1,149,11.4,1371,14:26
446,Ryan Reaves\reavery01,2011,2017,7,NHL,419,27,24,51,-4,695,27,0,0,5,24,0,0,241,11.2,3354,8:00
447,Wade Redden\reddewa01,2013,2013,1,NHL,23,2,3,5,-2,11,2,0,0,0,3,0,0,23,8.7,345,14:59
448,Dick Redmond\redmodi01,1978,1978,1,NHL,28,4,11,15,-14,16,4,0,0,0,4,7,0,92,4.3,,
449,Mark Reeds\reedsma01,1982,1987,6,NHL,320,45,105,150,9,98,39,4,2,7,99,5,1,429,10.5,,
450,Steve Regier\regiest01,2009,2009,1,NHL,8,3,1,4,-1,4,1,2,0,0,1,0,0,11,27.3,88,10:59
451,Mitch Reinke\reinkmi01,2018,2018,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,13:05
452,Todd Reirden\reirdto01,2000,2001,2,NHL,94,6,25,31,16,75,5,1,0,1,18,7,0,135,4.4,1665,17:43
453,Pascal Rheaume\rheaupa01,1998,2004,5,NHL,148,19,31,50,8,74,14,5,0,0,29,2,0,174,10.9,1223,12:14
454,Ken Richardson\richake01,1975,1979,3,NHL,49,8,13,21,3,16,7,1,0,1,12,1,0,46,17.4,,
455,Stephane Richer\richest02,2000,2000,1,NHL,36,8,17,25,7,14,4,4,0,1,12,5,0,63,12.7,484,13:27
456,Dave Richter\richtda01,1989,1990,2,NHL,68,1,5,6,-23,99,1,0,0,0,5,0,0,26,3.8,,
457,Jamie Rivers\riverja01,1996,2007,5,NHL,184,7,17,24,-10,127,3,4,0,1,11,5,1,162,4.3,1516,14:10
458,Wayne Rivers\riverwa01,1968,1968,1,NHL,22,4,4,8,-2,8,3,1,0,0,3,1,0,53,7.5,,
459,Andy Roach\roachan01,2006,2006,1,NHL,5,1,2,3,0,10,0,1,0,0,0,2,0,2,50,72,14:20
460,Phil Roberto\roberph01,1972,1975,4,NHL,148,33,38,71,-21,187,31,2,0,5,33,4,1,464,7.1,,
461,David Roberts\roberda01,1994,1996,3,NHL,48,7,11,18,-5,24,3,4,0,3,7,4,0,77,9.1,,
462,Gordie Roberts\robergo02,1988,1991,4,NHL,166,6,42,48,-6,263,6,0,0,0,37,4,1,120,5,,
463,Jimmy Roberts\roberji01,1968,1978,6,NHL,395,63,94,157,21,322,49,9,5,7,66,22,6,699,9,,
464,Rob Robinson\robinro01,1992,1992,1,NHL,22,0,1,1,-4,8,0,0,0,0,1,0,0,9,0,,
465,Cliff Ronning\ronnicl01,1987,1991,4,NHL,180,54,71,125,11,46,30,24,0,6,37,34,0,335,16.1,,
466,Bill Root\rootbi01,1988,1988,1,NHL,9,0,0,0,-7,6,0,0,0,0,0,0,0,6,0,,
467,Derek Roy\royde01,2014,2014,1,NHL,75,9,28,37,-1,30,5,4,0,2,16,12,0,114,7.9,1022,13:37
468,Martin Rucinsky\rucinma01,2003,2008,3,NHL,153,33,46,79,-13,126,20,9,4,6,34,11,1,298,11.1,2502,16:21
469,Jason Ruff\ruffja01,1993,1993,1,NHL,7,2,1,3,-1,8,1,1,0,1,1,0,0,7,28.6,,
470,Darren Rumble\rumblda01,2001,2001,1,NHL,12,0,4,4,7,27,0,0,0,0,1,1,2,11,0,219,18:13
471,Kris Russell\russekr01,2012,2013,2,NHL,76,5,11,16,19,21,4,1,0,1,10,1,0,77,6.5,1255,16:30
472,Mark Rycroft\rycroma01,2002,2006,3,NHL,160,15,19,34,-12,82,14,0,1,2,18,1,0,201,7.5,1945,12:09
473,Gary Sabourin\sabouga01,1968,1974,7,NHL,463,136,131,267,19,334,111,23,2,21,106,25,0,1354,10,,
474,Larry Sacharuk\sachala01,1975,1975,1,NHL,76,20,22,42,-9,24,9,11,0,1,15,7,0,205,9.8,,
475,Bryce Salvador\salvabr01,2001,2008,7,NHL,447,16,47,63,-15,413,14,2,0,5,43,2,2,322,5,8189,18:19
476,Derek Sanderson\sandede01,1976,1977,2,NHL,97,32,56,88,5,85,32,0,0,3,35,18,3,224,14.3,,
477,Zach Sanford\sanfoza01,2017,2019,2,NHL,56,9,10,19,8,23,9,0,0,3,10,0,0,72,12.5,712,12:43
478,Glen Sather*\sathegl01,1974,1974,1,NHL,69,15,29,44,-8,82,15,0,0,5,20,9,0,106,14.2,,
479,Brian Savage\savagbr01,2004,2004,1,NHL,13,4,3,7,-3,2,3,1,0,1,1,2,0,23,17.4,211,16:15
480,Kevin Sawyer\sawyeke01,1996,1996,1,NHL,6,0,0,0,-2,23,0,0,0,0,0,0,0,1,0,,
481,Dave Scatchard\scatcda01,2011,2011,1,NHL,8,0,1,1,1,6,0,0,0,0,1,0,0,6,0,38,4:45
482,Brayden Schenn\schenbr01,2018,2019,2,NHL,137,39,70,109,11,86,29,10,0,12,53,17,0,321,12.1,2646,19:19
483,Jordan Schmaltz\schmajo01,2017,2019,3,NHL,42,0,5,5,-7,12,0,0,0,0,4,1,0,21,0,501,11:56
484,Ron Schock\schocro01,1968,1969,2,NHL,122,21,36,57,-13,31,13,8,0,4,32,4,0,275,7.6,,
485,Dwight Schofield\schofdw01,1984,1985,2,NHL,113,5,14,19,-8,400,5,0,0,1,12,2,0,70,7.1,,
486,Jaden Schwartz\schwaja01,2012,2019,8,NHL,429,119,180,299,77,113,91,24,4,15,147,31,2,960,12.4,7560,17:37
487,Rod Seiling\seiliro01,1977,1979,3,NHL,160,4,38,42,-47,80,2,2,0,1,31,5,2,251,1.6,,
488,Peter Sejna\sejnape01,2003,2007,4,NHL,49,7,4,11,-6,12,4,3,0,0,2,2,0,82,8.5,605,12:21
489,Brit Selby\selbybr01,1971,1972,2,NHL,59,1,4,5,-13,31,1,0,0,0,3,1,0,40,2.5,,
490,Konstantin Shafranov\shafrko01,1997,1997,1,NHL,5,2,1,3,1,0,2,0,0,0,1,0,0,8,25,,
491,Brendan Shanahan*\shanabr01,1992,1995,4,NHL,277,156,150,306,5,692,95,52,9,24,82,66,2,997,15.6,,
492,Kevin Shattenkirk\shattke01,2011,2017,7,NHL,425,59,199,258,24,274,27,32,0,10,99,97,3,921,6.4,9043,21:17
493,Brad Shaw\shawbr01,1999,1999,1,NHL,12,0,0,0,0,4,0,0,0,0,0,0,0,10,0,148,12:21
494,Rick Shinske\shinsri01,1979,1979,1,NHL,11,0,4,4,-3,2,0,0,0,0,4,0,0,7,0,,
495,Jim Shires\shireji01,1972,1972,1,NHL,17,0,3,3,-13,8,0,0,0,0,2,1,0,14,0,,
496,Timofei Shishkanov\shishti01,2006,2006,1,NHL,22,3,2,5,-1,6,3,0,0,0,2,0,0,26,11.5,186,8:28
497,Mike Sillinger\sillimi01,2004,2006,2,NHL,64,27,24,51,-13,63,14,11,2,1,10,14,0,171,15.8,1267,19:48
498,Bobby Simpson\simpsbo01,1980,1980,1,NHL,18,2,2,4,-2,0,2,0,0,0,1,1,0,20,10,,
499,Reid Simpson\simpsre01,2001,2001,1,NHL,38,2,1,3,-3,96,2,0,0,1,1,0,0,23,8.7,264,6:57
500,Randy Skarda\skardra01,1990,1992,2,NHL,26,0,5,5,2,11,0,0,0,0,5,0,0,8,0,,
501,Rick Smith\smithri01,1976,1977,2,NHL,42,1,8,9,-2,24,1,0,0,0,5,2,1,43,2.3,,
502,Peter Smrek\smrekpe01,2001,2001,1,NHL,6,2,0,2,1,2,2,0,0,1,0,0,0,5,40,78,13:01
503,John Smrke\smrkejo01,1978,1979,2,NHL,73,8,12,20,-31,31,7,0,1,0,10,1,1,92,8.7,,
504,Harold Snepsts\snepsha01,1990,1991,2,NHL,61,1,5,6,-1,60,1,0,0,1,4,0,1,35,2.9,,
505,Vladimir Sobotka\sobotvl01,2011,2018,6,NHL,329,41,92,133,12,268,35,3,3,8,74,17,1,501,8.2,5375,16:20
506,Nikita Soshnikov\soshnni01,2018,2019,2,NHL,17,1,1,2,-1,4,1,0,0,0,1,0,0,18,5.6,170,9:59
507,Frank Spring\sprinfr01,1974,1975,2,NHL,5,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,,
508,Frank St. Marseille\stmarfr01,1968,1973,6,NHL,403,86,171,257,31,120,75,11,0,11,124,47,0,1035,8.3,,
509,Myron Stankiewicz\stankmy01,1969,1969,1,NHL,16,0,2,2,-1,11,0,0,0,0,2,0,0,17,0,,
510,Paul Stastny\stastpa01,2015,2018,4,NHL,267,56,119,175,7,116,39,17,0,15,88,30,1,493,11.4,4971,18:37
511,Peter Stastny*\stastpe01,1994,1995,2,NHL,23,6,12,18,-1,4,4,2,0,1,6,6,0,39,15.4,,
512,Yan Stastny\stastya01,2008,2010,3,NHL,50,5,5,10,-13,29,5,0,0,0,4,0,1,47,10.6,603,12:04
513,Alex Steen\steenal01,2009,2019,11,NHL,691,185,287,472,40,334,135,42,8,35,180,104,3,1758,10.5,12972,18:46
514,Lee Stempniak\stemple01,2006,2009,4,NHL,233,57,73,130,-15,97,41,16,0,9,47,25,1,471,12.1,3569,15:19
515,Brett Sterling\sterlbr01,2012,2012,1,NHL,4,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,30,7:34
516,Scott Stevens*\stevesc01,1991,1991,1,NHL,78,5,44,49,23,150,4,1,0,1,25,18,1,160,3.1,,
517,Bill Stewart\stewabi01,1981,1983,3,NHL,89,2,26,28,13,147,2,0,0,0,22,2,2,88,2.3,,
518,Bob Stewart\stewabo01,1979,1980,2,NHL,88,5,14,19,-28,51,4,1,0,0,14,0,0,64,7.8,,
519,Chris Stewart\stewach02,2011,2014,4,NHL,211,63,52,115,7,276,45,18,0,9,40,12,0,437,14.4,3248,15:24
520,Ron Stewart\stewaro01,1968,1968,1,NHL,19,7,5,12,-7,11,7,0,0,2,2,3,0,69,10.1,,
521,Cory Stillman\stillco01,2001,2003,3,NHL,171,50,69,119,18,98,35,15,0,8,47,20,2,323,15.5,2876,16:49
522,Tyson Strachan\stracty01,2009,2011,3,NHL,67,0,6,6,1,82,0,0,0,0,6,0,0,56,0,867,12:57
523,Mike Stuart\stuarmi01,2004,2006,2,NHL,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,10:40
524,Bob Stumpf\stumpbo01,1975,1975,1,NHL,7,1,1,2,2,16,1,0,0,0,1,0,0,8,12.5,,
525,Oskar Sundqvist\sundqos01,2018,2019,2,NHL,96,12,16,28,-1,32,11,0,1,2,15,1,0,122,9.8,1145,11:56
526,Bill Sutherland\suthebi01,1971,1972,2,NHL,77,21,23,44,6,43,21,0,0,3,13,7,3,113,18.6,,
527,Brian Sutter\suttebr01,1977,1988,12,NHL,779,303,333,636,-66,1786,193,107,3,29,244,85,4,1685,18,,
528,Rich Sutter\sutteri01,1990,1993,4,NHL,250,40,41,81,7,351,35,0,5,6,36,0,5,413,9.7,,
529,Ron Sutter\suttero01,1992,1994,3,NHL,163,37,54,91,-3,236,23,10,4,6,39,13,2,238,15.5,,
530,Ken Sutton\suttoke01,1996,1996,1,NHL,6,0,0,0,-1,4,0,0,0,0,0,0,0,3,0,,
531,Darryl Sydor\sydorda01,2010,2010,1,NHL,47,0,8,8,-6,15,0,0,0,0,7,1,0,26,0,785,16:42
532,Jean-Guy Talbot\talboje01,1968,1971,4,NHL,172,7,23,30,25,72,6,0,1,1,19,4,0,159,4.4,,
533,Vladimir Tarasenko\tarasvl01,2013,2019,7,NHL,482,205,198,403,69,145,151,54,0,34,142,56,0,1578,13,8496,17:38
534,Patrice Tardif\tardipa01,1995,1996,2,NHL,50,6,10,16,2,41,5,1,0,1,8,2,0,67,9,,
535,Robert Thomas\thomaro01,2019,2019,1,NHL,50,5,15,20,-6,10,4,1,0,0,12,3,0,54,9.3,620,12:24
536,Dave Thomlinson\thomlda01,1990,1991,2,NHL,22,1,2,3,-7,12,1,0,0,0,2,0,0,17,5.9,,
537,Tage Thompson\thompta01,2018,2018,1,NHL,41,3,6,9,-12,12,3,0,0,0,5,1,0,55,5.5,489,11:55
538,Floyd Thomson\thomsfl01,1972,1980,8,NHL,411,56,97,153,-25,341,54,1,1,7,92,3,2,537,10.4,,
539,Chris Thorburn\thorbch01,2018,2019,2,NHL,51,1,6,7,-4,60,1,0,0,0,6,0,0,35,2.9,354,6:56
540,Esa Tikkanen\tikkaes01,1995,1996,2,NHL,54,13,27,40,14,40,5,5,3,1,16,10,1,126,10.3,,
541,Tom Tilley\tilleto01,1989,1994,4,NHL,174,4,38,42,19,89,4,0,0,0,30,7,1,165,2.4,,
542,Keith Tkachuk\tkachke01,2001,2010,9,NHL,543,208,219,427,0,677,111,96,1,29,157,61,1,1478,14.1,9658,17:47
543,Larry Trader\tradela01,1987,1988,2,NHL,6,0,0,0,-6,10,0,0,0,0,0,0,0,4,0,,
544,Dan Trebil\trebida01,2001,2001,1,NHL,10,0,0,0,1,0,0,0,0,0,0,0,0,9,0,142,14:14
545,Rob Tudor\tudorro01,1983,1983,1,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
546,Darren Turcotte\turcoda01,1998,1998,1,NHL,62,12,6,18,6,26,9,3,0,1,4,1,1,75,16,,
547,Pierre Turgeon\turgepi01,1997,2001,5,NHL,327,134,221,355,65,117,94,40,0,25,139,80,2,837,16,3767,19:02
548,Perry Turnbull\turnbpe01,1980,1988,6,NHL,396,139,99,238,-20,829,123,16,0,11,84,15,0,915,15.2,,
549,Steve Tuttle\tuttlst01,1989,1991,3,NHL,144,28,28,56,-1,12,25,1,2,4,24,2,2,190,14.7,,
550,Tony Twist\twistto01,1990,1999,6,NHL,294,10,11,21,-15,688,10,0,0,2,11,0,0,83,12,326,5:10
551,Garry Unger\ungerga01,1971,1979,9,NHL,662,292,283,575,-113,744,210,79,3,40,192,88,3,2469,11.8,,
552,Scottie Upshall\upshasc01,2016,2018,3,NHL,206,23,28,51,3,135,21,0,2,4,25,0,3,269,8.6,2252,10:56
553,Mike Van Ryn\vanrymi01,2001,2003,3,NHL,69,2,11,13,11,26,2,0,0,1,10,1,0,74,2.7,1101,15:58
554,Sergei Varlamov\varlase01,2002,2003,2,NHL,55,5,7,12,5,26,5,0,0,0,7,0,0,88,5.7,615,11:11
555,Alexander Vasilevski\vasilal01,1996,1997,2,NHL,4,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,,
556,Gary Veneruzzo\venerga01,1968,1972,2,NHL,7,1,1,2,0,0,1,0,0,0,1,0,0,7,14.3,,
557,Jim Vesey\veseyji01,1989,1990,2,NHL,11,1,2,3,-4,7,1,0,0,0,2,0,0,8,12.5,,
558,Alain Vigneault\vigneal01,1982,1983,2,NHL,42,2,5,7,-5,82,2,0,0,0,5,0,0,22,9.1,,
559,Roman Vopat\vopatro01,1996,1996,1,NHL,25,2,3,5,-8,48,1,1,0,1,3,0,0,33,6.1,,
560,Steve Wagner\wagnest01,2008,2009,2,NHL,46,4,8,12,-9,26,3,1,0,0,5,3,0,41,9.8,787,17:07
561,Matt Walker\walkema01,2003,2008,5,NHL,175,1,10,11,-3,275,1,0,0,0,10,0,0,161,0.6,2523,14:25
562,Bob Wall\wallbo01,1971,1971,1,NHL,25,2,4,6,0,4,1,1,0,0,4,0,0,29,6.9,,
563,Mike Walton\waltomi01,1979,1979,1,NHL,22,7,11,18,-13,6,7,0,0,0,6,5,0,41,17.1,,
564,Bryan Watson\watsobr01,1974,1974,1,NHL,11,0,1,1,0,19,0,0,0,0,1,0,0,10,0,,
565,Mike Weaver\weavemi01,2009,2010,2,NHL,135,1,16,17,7,41,1,0,0,0,14,0,2,69,1.4,2307,17:05
566,Doug Weight\weighdo01,2002,2008,6,NHL,364,75,220,295,14,247,47,28,0,13,116,101,3,804,9.3,7183,19:44
567,Eric Weinrich\weinrer01,2004,2006,2,NHL,85,3,24,27,-9,58,1,2,0,0,14,10,0,83,3.6,1910,22:28
568,Jay Wells\wellsja01,1996,1996,1,NHL,76,0,3,3,-8,67,0,0,0,0,3,0,0,24,0,,
569,Jeremy Welsh\welshje01,2016,2016,1,NHL,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,8:19
570,John Wensink\wensijo01,1974,1974,1,NHL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
571,Don Wheldon\whelddo01,1975,1975,1,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
572,Rob Whistle\whistro01,1988,1988,1,NHL,19,3,3,6,0,6,3,0,0,1,3,0,0,17,17.6,,
573,Trent Whitfield\whitftr01,2006,2009,2,NHL,33,2,6,8,-1,14,1,1,0,0,5,1,0,45,4.4,391,11:51
574,Doug Wickenheiser\wickedo01,1984,1987,4,NHL,230,51,67,118,8,108,41,6,4,7,50,13,4,456,11.2,,
575,Dennis Wideman\widemde01,2006,2007,2,NHL,122,13,33,46,-38,127,3,9,1,2,13,20,0,244,5.3,2564,21:01
576,Butch Williams\willibu02,1974,1974,1,NHL,31,3,10,13,2,6,3,0,0,0,10,0,0,41,7.3,,
577,Bert Wilson\wilsobe01,1976,1976,1,NHL,45,2,3,5,-6,47,2,0,0,1,3,0,0,25,8,,
578,Rick Wilson\wilsori01,1975,1976,2,NHL,141,3,11,14,2,103,2,1,0,0,11,0,0,106,2.8,,
579,Rik Wilson\wilsori02,1982,1986,5,NHL,235,21,60,81,-6,214,14,7,0,3,45,14,1,374,5.6,,
580,Ron Wilson\wilsoro03,1990,1993,4,NHL,248,33,72,105,6,167,19,7,7,5,50,9,13,316,10.4,,
581,Brad Winchester\winchbr01,2009,2011,3,NHL,185,25,18,43,-7,283,16,9,0,4,14,4,0,218,11.5,1957,10:35
582,Jeff Woywitka\woywije01,2006,2009,4,NHL,152,6,29,35,2,106,4,2,0,1,23,6,0,147,4.1,2413,15:53
583,Andy Wozniewski\woznian01,2009,2009,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,6:44
584,John Wright\wrighjo01,1974,1974,1,NHL,32,3,6,9,-2,22,3,0,0,0,6,0,0,44,6.8,,
585,Jeremy Yablonski\yabloje01,2004,2004,1,NHL,1,0,0,0,-1,5,0,0,0,0,0,0,0,1,0,8,7:53
586,Terry Yake\yakete01,1998,2000,3,NHL,151,23,42,65,-6,94,14,8,1,10,26,16,0,145,15.9,1250,14:32
587,Nail Yakupov\yakupna01,2017,2017,1,NHL,40,3,6,9,-3,14,3,0,0,0,6,0,0,35,8.6,426,10:39
588,Trent Yawney\yawnetr01,1997,1997,1,NHL,39,0,2,2,2,17,0,0,0,0,1,0,1,8,0,,
589,Harry York\yorkha01,1997,1998,2,NHL,132,18,24,42,1,55,14,3,1,3,22,2,0,128,14.1,,
590,Scott Young\youngsc01,1999,2006,5,NHL,377,125,129,254,14,153,78,43,4,20,64,64,1,1264,9.9,6606,17:31
591,Libor Zabransky\zabrali01,1997,1998,2,NHL,40,1,6,7,-4,50,1,0,0,1,5,1,0,28,3.6,,
592,Joe Zanussi\zanusjo01,1977,1977,1,NHL,11,0,3,3,-6,4,0,0,0,0,1,2,0,11,0,,
593,Peter Zezel\zezelpe01,1989,1997,4,NHL,217,54,105,159,-6,81,39,14,1,9,57,47,1,409,13.2,,
594,Mike Zigomanis\zigommi01,2006,2006,1,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,7:39
595,Rick Zombo\zombori01,1992,1995,4,NHL,232,6,42,48,-6,233,6,0,0,1,36,3,3,161,3.7,,
596,Mike Zuke\zukemi01,1979,1983,5,NHL,296,76,159,235,-17,160,53,20,3,5,89,69,1,614,12.4,,
